,precision,recall,f1-score,support
0,0.971656976744186,0.9667389732465654,0.9691917361362813,1383.0
1,0.98026734563972,0.9815168897386871,0.9808917197452229,1569.0
2,0.9444850255661067,0.952837140751658,0.9486426999266323,1357.0
3,0.9586206896551724,0.9475119291070211,0.9530339389784025,1467.0
4,0.9638109305760709,0.9581497797356828,0.9609720176730486,1362.0
5,0.9370015948963317,0.942261427425822,0.939624150339864,1247.0
6,0.961376404494382,0.9729921819474058,0.9671494171670787,1407.0
7,0.9581831290555155,0.9616497829232996,0.9599133261105093,1382.0
8,0.9608277900960828,0.9454545454545454,0.9530791788856305,1375.0
9,0.9432284541723667,0.9503790489317712,0.9467902506007553,1451.0
accuracy,0.9583571428571429,0.9583571428571429,0.9583571428571429,0.9583571428571429
macro avg,0.9579458340895934,0.9579491699262459,0.9579288435563427,14000.0
weighted avg,0.9583988325505818,0.9583571428571429,0.9583593847436596,14000.0
