Country,Deaths
World,1.713.152
USA,326.954
Brazil,187.322
India,146.414
Mexico,118.598
Italy,69.214
UK,67.616
France,60.900
Iran,54.003
Russia,51.912
Spain,49.260
Argentina,41.997
Colombia,40.680
Peru,37.173
Germany,27.662
Poland,25.783
South Africa,24.907
Indonesia,20.257
Belgium,18.697
Turkey,18.351
Ukraine,16.897
Chile,16.217
Romania,14.636
Canada,14.332
Ecuador,13.949
Iraq,12.725
Netherlands,10.633
Czechia,10.562
Pakistan,9.474
Bolivia,9.043
Philippines,9.021
Hungary,8.462
Sweden,8.167
Bangladesh,7.329
Egypt,7.130
Morocco,7.000
Switzerland,6.864
Bulgaria,6.765
Portugal,6.254
Saudi Arabia,6.139
Austria,5.540
Guatemala,4.718
China,4.634
Greece,4.340
Tunisia,4.199
Bosnia and Herzegovina,3.706
Jordan,3.627
Panama,3.597
Croatia,3.328
Israel,3.111
Honduras,3.034
Japan,2.944
Moldova,2.803
Serbia,2.782
Algeria,2.675
Armenia,2.673
Myanmar,2.484
Slovenia,2.417
Dominican Republic,2.398
North Macedonia,2.314
Azerbaijan,2.294
Georgia,2.182
Ireland,2.158
Kazakhstan,2.147
Afghanistan,2.105
Paraguay,2.103
Costa Rica,2.037
Ethiopia,1.861
Nepal,1.798
Kenya,1.644
Slovakia,1.618
Oman,1.490
Sudan,1.468
Libya,1.385
Belarus,1.341
Kyrgyzstan,1.335
Lebanon,1.294
El Salvador,1.265
Nigeria,1.227
Palestine,1.198
Albania,1.098
Lithuania,1.093
Denmark,1.070
Venezuela,993
Kuwait,922
Australia,908
S. Korea,722
UAE,642
Montenegro,630
Syria,621
Uzbekistan,612
Yemen,606
Finland,511
Latvia,459
Luxembourg,450
Cameroon,448
Malaysia,439
Norway,405
Angola,390
Zambia,379
Senegal,372
DRC,370
Bahrain,350
Ghana,333
Zimbabwe,322
Jamaica,288
Mauritania,286
Madagascar,260
Qatar,243
Uganda,238
Haiti,234
Mali,225
Belize,224
Malta,196
Malawi,187
Estonia,187
Namibia,181
Sri Lanka,181
Bahamas,164
Nicaragua,163
Guyana,159
Guadeloupe,154
Mozambique,150
Eswatini,141
Cuba,137
Ivory Coast,133
Hong Kong,132
Somalia,127
Trinidad and Tobago,125
Gambia,123
Uruguay,119
Suriname,118
Cabo Verde,111
French Polynesia,106
Chad,102
Congo,100
Cyprus,96
Tajikistan,89
Niger,87
Equatorial Guinea,85
Liberia,83
Andorra,81
Guinea,80
Burkina Faso,76
Sierra Leone,75
French Guiana,71
Togo,66
Rwanda,65
Gabon,64
CAR,63
South Sudan,62
Djibouti,61
Thailand,60
San Marino,56
Mayotte,53
Channel Islands,52
Maldives,48
Lesotho,48
Aruba,47
Guinea-Bissau,44
Benin,44
Réunion,42
Martinique,42
Botswana,38
Vietnam,35
Singapore,29
Iceland,28
Liechtenstein,28
Sint Maarten,26
Isle of Man,25
New Zealand,25
Tanzania,21
Sao Tome and Principe,17
Diamond Princess,13
Saint Martin,12
Curaçao,11
Mauritius,10
Bermuda,9
Papua New Guinea,9
Taiwan,7
Barbados,7
Comoros,7
Turks and Caicos,6
Gibraltar,6
Antigua and Barbuda,5
Saint Lucia,5
Caribbean Netherlands,3
Brunei ,3
Monaco,3
Fiji,2
MS Zaandam,2
Cayman Islands,2
Burundi,2
Montserrat,1
British Virgin Islands,1
St. Barth,1
Western Sahara,1
